465|hemorragias internas
95|fractura de cuello y golpes en la cabeza
180|Inserción de fragmentos de la aspiradora causándole hemorragias
744|Hemorragia cerebral
615|Desangrando
368|fractura de cráneo
895|Explosión del estómago, desangrado
205|quemado y ahogado
245|fractura de el corazón y hemorragia
404|desangrado
348|cocido
317|deshidratación
127|Hemorragia cerebral
264|Aplastados
458|Ataque al corazón
678|Desangrado
402|Decapitado
247|Hemorragia cerebral
219|Fractura de cráneo
623|Ahogamiento
255|Intoxicación
621|Envenenamiento
126|Ruptura de sus venas
305|Perforación del corazón
193|Explosión
275|Disparo
592|Desangramiento
646|Síndrome de realimentación
174|Daño de la tráquea
213|Envenenamiento
439|Pérdida de sangre y múltiples fracturas
715|Explosión
147|Desangrado
325|Quemada
237|empalado
309|quemaduras múltiples
213|asfixia
497|destrucción de la pelvis
306|Aplastado
745|Partido por la mitad
459|Deshidratación
619|Desangrado
271|Aplastamiento
324|Infección Por SARS
257|Pérdida de Líquido Encefaloraquideo
370|Explosión de Bomba
406|explosión
450|Infección de tétanos
412|Cocido
326|Daño de la tráquea
618|Triturada
73|parálisis
440|Gran hemorragia cerebral
500|Lapidación
449|Desangrado
189|Quemado
79|Daño en la cabeza
487|Perforación del corazón
769|Septicemia
419|Aplastado
804|Le explotó el intestino grueso y murió por hemorragia, mientras el otro murió por estar muy cerca de la explosión
65|rompimiento el cuello y ruptura de la médula espinal
329|Golpe en el cráneo
328|Estrangulamiento
86|Disparados
173|Epilepsia y ahogamiento
318|Incinerado
591|Ataque de oso
826|Hemorragia interna
468|Hipertermia
334|Ántrax
992|Paro cardiaco
325|Ahogado
460|Explosión y dividido a la mitad
190|Traumatismo
293|Falta de oxígeno
242|Daño cerebral
163|Traumatismo de cuello
881|Ataque al corazón
240|Hemorragia cerebral
785|Expuesta a una sustancia tóxica
642|Atravesado
241|Hemorragia cerebral
820|Sofocado
307|Aplastado
917|Explosión de tráquea
508|Asfixiado
260|Electrocutado
819|Síndrome de ACHOO
273|Explosión de tanque de oxígeno
295|Desangrada
109|Infarto por electro shocks
244|Desangrada
700|Desgarro del corazón
548|Asfixiada
350|Fractura de cuello
915|Shock anafiláctico
294|atravesado por un pedazo de un bate
634|ahogamiento
290|Desfiguramiento de cara
630|partido a la mitad
730|Hemorragia Interna
272|Daño Cerebral
965|Desangrado y decapitado
899|Calentamiento del cerebro
771|Expuesto a una sustancia tóxica
614|Ataque cardíaco
211|Asfixia
556|Fractura de cráneo
644|Sofocada
106|Fracturas Múltiples
520|Perforación del corazón
